k1	hom	lex	accented	index_token	stem_class	compound_members	irregularities
avikzita		adj.	a/vikzita	mfn·1a	a-stem		tri_gender_adj
avikzipa		adj.	avikzipa/	mfn·1b	a-stem		tri_gender_adj
aviganDikA		f.	aviganDikA	f·2+2	ā-stem	avi+ganDikA	compound:2_members;ā_stem_f(§364)
avigna		m.	avigna	m·1	a-stem		
aviGna		adj.	aviGna	mfn·1	a-stem		tri_gender_adj
avicAcala		adj.	a/vicAcala	mfn·1a	a-stem		tri_gender_adj
avicAcalant		adj.	a/vicAcalant	mfn·8ta*	consonant-stem		tri_gender_adj
avicAcali		adj.	a/vicAcali	mfn·3a	i-stem		tri_gender_adj
avicftya		adj.	avicftya/	mfn·1b	a-stem		tri_gender_adj
avicetana		adj.	avicetana/	mfn·1b	a-stem		tri_gender_adj
avicCeda		m.	a/vicCeda	m·1a	a-stem		
avijAta		adj.	a/vijAta	mfn·1a	a-stem		tri_gender_adj
avijAnant		adj.	a/vijAnant	mfn·8ta*	consonant-stem		tri_gender_adj
avijYAta		adj.	a/vijYAta	mfn·1a	a-stem		tri_gender_adj
avijYAtagati		m.	avijYAtagati	m·3+2	i-stem	avijYAta+gati	compound:2_members
avijYAtagada		adj.	a/vijYAtagada	mfn·1a+2	a-stem	avijYAta+gada	compound:2_members;tri_gender_adj
aviqIna		n.	aviqIna	n·1	a-stem		
avitaTa		adj.	avitaTa	mfn·1	a-stem		tri_gender_adj
avitar		m.	avita/r	m·8√b	consonant-stem		
avitArin		adj.	a/vitArin	mfn·8ia	consonant-stem		tri_gender_adj
avitti		f.	a/vitti	f·3a	i-stem		
avityaja		m.n.	avityaja	mn·1	a-stem		m_n_common
aviTura		adj.	a/viTura	mfn·1a	a-stem		tri_gender_adj
aviTyA		f.	a/viTyA	f·2a	ā-stem		ā_stem_f(§364)
avidasya		adj.	avidasya/	mfn·1b	a-stem		tri_gender_adj
avidIDayu		adj.	a/vidIDayu	mfn·5a	u-stem		tri_gender_adj
avidugDa		n.	avidugDa	n·1+2	a-stem	avi+dugDa	compound:2_members
avidUra		adj.	avidUra	mfn·1	a-stem		tri_gender_adj
avidUsa		n.	avidU/sa	n·1a+2	a-stem	avi+dUsa	compound:2_members
avidDakarRA		f.	avidDakarRA	f·2+2	ā-stem	avidDa+karRA	compound:2_members;ā_stem_f(§364)
avidDakarRI		f.	avidDakarRI	f·4+2	ī-stem	avidDa+karRI	compound:2_members
avidya		adj.	avidya	mfn·1	a-stem		tri_gender_adj
avidyA		f.	a/vidyA	f·2a	ā-stem		ā_stem_f(§364)
avidyAmaya		adj.	avidyAmaya	mfn·1	a-stem		tri_gender_adj
avidriya		adj.	avidriya/	mfn·1b	a-stem		tri_gender_adj
avidvaMs		adj.	a/vidvaMs	mfn·8√a	consonant-stem		tri_gender_adj
avidveza		m.	a/vidveza	m·1a	a-stem		
aviDavA		f.	aviDavA/	f·2b	ā-stem		ā_stem_f(§364)
avina		m.	avina/	m·1b	a-stem		
avinaya		m.	avinaya	m·1	a-stem		
avinAyin		adj.	avinAyin	mfn·8i	consonant-stem		tri_gender_adj
avinIta		adj.	avinIta	mfn·1	a-stem		tri_gender_adj
avinDya		m.	avinDya	m·1	a-stem		
avipawa		m.	avipawa/	m·1b+2	a-stem	avi+pawa	compound:2_members
avipAka	1	m.	avipAka	m·1	a-stem		
avipAka	2	adj.	avipAka	mfn·1	a-stem		tri_gender_adj
avipAla		m.	avipAla/	m·1b+2	a-stem	avi+pAla	compound:2_members
avipra		adj.	avipra/	mfn·1b	a-stem		tri_gender_adj
avipriya		m.	avipriya	m·1+2	a-stem	avi+priya	compound:2_members
avimatta		m.	avimatta	m·1	a-stem		
avimant		adj.	a/vimant	mfn·8ta*	consonant-stem		tri_gender_adj
avimarIsa		m.	avimarIsa/	m·1b+2	a-stem	avi+marIsa	compound:2_members
avimukta		adj.	a/vimukta	mfn·1a	a-stem		tri_gender_adj
avimuktApIqa		m.	avimuktApIqa	m·1	a-stem		
avimokya		adj.	avimokya/	mfn·1b	a-stem		tri_gender_adj
aviyogatftIyA		m.	aviyogatftIyA	m·2+2	ā-stem	aviyoga+tftIyA	compound:2_members
avirata		adj.	avirata	mfn·1	a-stem		tri_gender_adj
avirati		f.	avirati	f·3	i-stem		
avirala		adj.	avirala	mfn·1	a-stem		tri_gender_adj
avirADayant		adj.	a/virADayant	mfn·8ta*	consonant-stem		tri_gender_adj
aviroDa		m.	aviroDa	m·1	a-stem		
avilambana		adj.	avilambana	mfn·1	a-stem		tri_gender_adj
avilambam		adv.	avilambam	ind·0	indeclinable		
avilambita		adj.	avilambita	mfn·1	a-stem		tri_gender_adj
avilA		f.	avilA	f·2	ā-stem		ā_stem_f(§364)
aviliKa		adj.	aviliKa/	mfn·1b	a-stem		tri_gender_adj
avivAkya		adj.	avivAkya	mfn·1	a-stem		tri_gender_adj
aviveka	1	m.	aviveka	m·1	a-stem		
aviveka	2	adj.	aviveka	mfn·1	a-stem		tri_gender_adj
avivekin		adj.	avivekin	mfn·8i	consonant-stem		tri_gender_adj
avivenam		adv.	a/vivenam	ind·0	indeclinable		
aviSastar		m.	aviSasta/r	m·8√b	consonant-stem		
aviSvaminva		adj.	a/viSvaminva	mfn·1a+2	a-stem	aviSva+minva	compound:2_members;tri_gender_adj
aviSvavinna		adj.	a/viSvavinna	mfn·1a+2	a-stem	aviSva+vinna	compound:2_members;tri_gender_adj
aviSvAsa	1	m.	aviSvAsa	m·1	a-stem		
aviSvAsa	2	adj.	aviSvAsa	mfn·1	a-stem		tri_gender_adj
aviza		adj.	aviza/	mfn·1b	a-stem		tri_gender_adj
avizWa		adj.	a/vizWa	mfn·1a	a-stem		tri_gender_adj
avizyA		f.	avizyA/	f·2b	ā-stem		ā_stem_f(§364)
avizyu		adj.	avizyu/	mfn·5b	u-stem		tri_gender_adj
avisoQa		n.	aviso/Qa	n·1a+2	a-stem	avi+soQa	compound:2_members
avistara		adj.	avistara	mfn·1	a-stem		tri_gender_adj
avisTala		n.	avisTala	n·1+2	a-stem	avi+sTala	compound:2_members
aviharyatakratu		adj.	aviharyatakratu	mfn·5	u-stem		tri_gender_adj
avihruta		adj.	a/vihruta	mfn·1a	a-stem		tri_gender_adj
avihvarant		adj.	a/vihvarant	mfn·8ta*	consonant-stem		tri_gender_adj
avI	1	adj.	avI/	mfn·4b	ī-stem		tri_gender_adj
avI	2	f.	avI	f·4	ī-stem		
avIci		adj.	avIci	mfn·3	i-stem		tri_gender_adj
avIcimaya		m.	avIcimaya	m·1	a-stem		
avIja	1	n.	avIja	n·1	a-stem		
avIja	2	adj.	avIja	mfn·1	a-stem		tri_gender_adj
avIjaka		adj.	avIjaka	mfn·1	a-stem		tri_gender_adj
avIra	1	adj.	avI/ra	mfn·1a	a-stem		tri_gender_adj
avIra	2	adj.	avIra/	mfn·1b	a-stem		tri_gender_adj
avIratA		f.	avI/ratA	f·2a+2	ā-stem	avIra+tA	compound:2_members;ā_stem_f(§364)
avIrahan		adj.	a/vIrahan	mfn·8na*+2	consonant-stem	avIra+han	compound:2_members;tri_gender_adj
avIrya		adj.	avIrya/	mfn·1b	a-stem		tri_gender_adj
avfka		adj.	avfka/	mfn·1b	a-stem		tri_gender_adj
avfkzaka		adj.	avfkzaka	mfn·1	a-stem		tri_gender_adj
avfjina		adj.	a/vfjina	mfn·1a	a-stem		tri_gender_adj
avfta		adj.	a/vfta	mfn·1a	a-stem		tri_gender_adj
avftti	1	f.	avftti	f·3	i-stem		
avftti	2	adj.	avftti	mfn·3	i-stem		tri_gender_adj
avfDa		adj.	avfDa/	mfn·1b	a-stem		tri_gender_adj
avfzwi		f.	a/vfzwi	f·3a	i-stem		
avfha		m.	avfha	m·1	a-stem		
avekzaRa		n.	avekzaRa	n·1	a-stem		
avekzaRIya		adj.	avekzaRIya	mfn·1	a-stem		tri_gender_adj
avekzA		f.	avekzA	f·2	ā-stem		ā_stem_f(§364)
avekzin		adj.	avekzin	mfn·8i	consonant-stem		tri_gender_adj
avekzya		adj.	avekzya	mfn·1	a-stem		tri_gender_adj
avedya		adj.	avedya	mfn·1	a-stem		tri_gender_adj
avenant		adj.	a/venant	mfn·8ta*	consonant-stem		tri_gender_adj
avela		m.	avela	m·1	a-stem		
avezwi		f.	a/vezwi	f·3a	i-stem		
avErahatya		n.	avErahatya/	n·1b	a-stem		
avokzaRa		n.	avokzaRa	n·1	a-stem		
avoda		m.	avoda	m·1	a-stem		
avodeva		adj.	avo/deva	mfn·1a	a-stem		tri_gender_adj
avoza		m.	avoza	m·1	a-stem		
avya		adj.	a/vya	mfn·1a	a-stem		tri_gender_adj
avyakta		adj.	avyakta	mfn·1	a-stem		tri_gender_adj
avyaktalakzaRa		m.	avyaktalakzaRa	m·1+2	a-stem	avyakta+lakzaRa	compound:2_members
avyaNga		adj.	avyaNga	mfn·1	a-stem		tri_gender_adj
avyacas		adj.	a/vyacas	mfn·8sa	consonant-stem		tri_gender_adj
avyaRqA		f.	avyaRqA	f·2	ā-stem		ā_stem_f(§364)
avyati		f.	a/vyati	f·3a	i-stem		
avyaTa		adj.	avyaTa	mfn·1	a-stem		tri_gender_adj
avyaTamAna		adj.	a/vyaTamAna	mfn·1a	a-stem		tri_gender_adj
avyaTA		f.	a/vyaTA	f·2a	ā-stem		ā_stem_f(§364)
avyaTi		adj.	avyaTi/	mfn·3b	i-stem		tri_gender_adj
avyaTin		adj.	avyaTin	mfn·8i	consonant-stem		tri_gender_adj
avyaTiza		m.	avyaTiza	m·1	a-stem		
avyaTya		adj.	avyaTya/	mfn·1b	a-stem		tri_gender_adj
avyanant		adj.	a/vyanant	mfn·8ta*	consonant-stem		tri_gender_adj
avyaya	1	adj.	avya/ya	mfn·1a	a-stem		tri_gender_adj
avyaya	2	adj.	avyaya	mfn·1	a-stem		tri_gender_adj
avyayatva		n.	avyayatva	n·1+2	a-stem	avyaya+tva	compound:2_members
avyayIBAva		m.	avyayIBAva	m·1	a-stem		
avyAhArin		adj.	avyAhArin	mfn·8i	consonant-stem		tri_gender_adj
avyuzwa		adj.	a/vyuzwa	mfn·1a	a-stem		tri_gender_adj
avyfdDi		f.	a/vyfdDi	f·3a	i-stem		
avyezyant		adj.	a/vyezyant	mfn·8ta*	consonant-stem		tri_gender_adj
avraRa		adj.	avraRa	mfn·1	a-stem		tri_gender_adj
avrata		adj.	avrata/	mfn·1b	a-stem		tri_gender_adj
avratika		adj.	avratika	mfn·1	a-stem		tri_gender_adj
avratya		n.	avratya/	n·1b	a-stem		
avrAjin		adj.	avrAjin	mfn·8i	consonant-stem		tri_gender_adj
avrAtya		m.	a/vrAtya	m·1a	a-stem		
avrIqa		m.	avrIqa	m·1	a-stem		
aS	2	n.	aS	n·8√	consonant-stem		
aSakumBI		f.	aSakumBI	f·4	ī-stem		
aSatru		adj.	aSatru/	mfn·5b	u-stem		tri_gender_adj
aSan		m.	a/San	m·8na*	consonant-stem		
aSana	1	adj.	aSana	mfn·1	a-stem		tri_gender_adj
aSana	2	n.	a/Sana	n·1a	a-stem		
aSana	3	m.	aSana	m·1	a-stem		
aSanakft		adj.	aSanakf/t	mfn·8√b+2	consonant-stem	aSana+kft	compound:2_members;tri_gender_adj
aSanapati		m.	aSanapati	m·3+2	i-stem	aSana+pati	compound:2_members
aSanaparRI		f.	aSanaparRI	f·4	ī-stem		
aSanavant		adj.	aSanavant	mfn·8t*	consonant-stem		tri_gender_adj
aSanAyA		f.	aSanAyA/	f·2b	ā-stem		ā_stem_f(§364)
aSanAyuka		adj.	aSanA/yuka	mfn·1a	a-stem		tri_gender_adj
aSani		m.	aSa/ni	m·3a	i-stem		
aSanipraBa		m.	aSanipraBa	m·1+2	a-stem	aSani+praBa	compound:2_members
aSanimant		adj.	aSa/nimant	mfn·8ta*	consonant-stem		tri_gender_adj
aSapant		adj.	a/Sapant	mfn·8ta*	consonant-stem		tri_gender_adj
aSam		ind.	a/Sam	ind·0	indeclinable		
aSas		adj.	aSa/s	mfn·8sb	consonant-stem		tri_gender_adj
aSasta		adj.	a/Sasta	mfn·1a	a-stem		tri_gender_adj
aSastavAra		adj.	a/SastavAra	mfn·1a+2	a-stem	aSasta+vAra	compound:2_members;tri_gender_adj
aSasti		f.	a/Sasti	f·3a	i-stem		
aSastihan		adj.	aSastiha/n	mfn·8nd*+2	consonant-stem	aSasti+han	compound:2_members;tri_gender_adj
aSAKA		f.	aSAKA	f·2	ā-stem		ā_stem_f(§364)
aSAnta		adj.	a/SAnta	mfn·1a	a-stem		tri_gender_adj
aSitaMgavIna		adj.	aSitaMgavIna	mfn·1+2	a-stem	aSita+MgavIna	compound:2_members;tri_gender_adj
aSitar		m.	aSita/r	m·8√b	consonant-stem		
aSitavya		adj.	aSita/vya	mfn·1a	a-stem		tri_gender_adj
aSitra		n.	aSi/tra	n·1a	a-stem		
aSin		adj.	aSin	mfn·8i	consonant-stem		tri_gender_adj
aSipada		adj.	aSipada/	mfn·1b	a-stem		tri_gender_adj
aSimida		adj.	aSimida/	mfn·1b	a-stem		tri_gender_adj
aSimividviz		adj.	aSimividviz	mfn·8√	consonant-stem		tri_gender_adj
aSira		m.	aSira	m·1	a-stem		
aSiras		adj.	aSiras	mfn·8s	consonant-stem		tri_gender_adj
aSiva		adj.	a/Siva	mfn·1a	a-stem		tri_gender_adj
aSiSizu		adj.	aSiSizu	mfn·5	u-stem		tri_gender_adj
aSiSu		adj.	aSiSu	mfn·5	u-stem		tri_gender_adj
aSIta		adj.	aSIta	mfn·1	a-stem		tri_gender_adj
aSIti		f.	aSIti/	f·3b	i-stem		
aSItika		adj.	aSItika	mfn·1	a-stem		tri_gender_adj
aSIrzan		adj.	aSIrza/n	mfn·8nd*	consonant-stem		tri_gender_adj
aSIrzika		adj.	a/SIrzika	mfn·1a	a-stem		tri_gender_adj
aSuBa		adj.	aSuBa	mfn·1	a-stem		tri_gender_adj
aSuza		adj.	aSu/za	mfn·1a	a-stem		tri_gender_adj
aSUdra		m.	a/SUdra	m·1a	a-stem		
aSUlA		f.	aSUlA	f·2	ā-stem		ā_stem_f(§364)
aSfTita		adj.	a/SfTita	mfn·1a	a-stem		tri_gender_adj
aSeva		adj.	a/Seva	mfn·1a	a-stem		tri_gender_adj
aSeza		m.	aSeza	m·1	a-stem		
aSezas		adj.	a/Sezas	mfn·8sa	consonant-stem		tri_gender_adj
aSezasAmrAjya		m.	aSezasAmrAjya	m·1+2	a-stem	aSeza+sAmrAjya	compound:2_members
aSEkza		m.	aSEkza	m·1	a-stem		
aSoka		adj.	a/Soka	mfn·1a	a-stem		tri_gender_adj
aSokatrirAtra		m.	aSokatrirAtra	m·1+2	a-stem	aSoka+trirAtra	compound:2_members
aSokadatta		m.	aSokadatta	m·1+2	a-stem	aSoka+datta	compound:2_members
aSokapUrRimA		f.	aSokapUrRimA	f·2+2	ā-stem	aSoka+pUrRimA	compound:2_members;ā_stem_f(§364)
aSokamaYjarI		f.	aSokamaYjarI	f·4+2	ī-stem	aSoka+maYjarI	compound:2_members
aSokarohiRI		f.	aSokarohiRI	f·4+2	ī-stem	aSoka+rohiRI	compound:2_members
aSokavarDana		m.	aSokavarDana	m·1+2	a-stem	aSoka+varDana	compound:2_members
aSokavega		m.	aSokavega	m·1+2	a-stem	aSoka+vega	compound:2_members
aSokazazWI		f.	aSokazazWI	f·4+2	ī-stem	aSoka+zazWI	compound:2_members
aSokAri		m.	aSokAri	m·3	i-stem		
aSokAzwamI		f.	aSokAzwamI	f·4	ī-stem		
aSoca		m.	aSoca	m·1	a-stem		
aSOca		n.	aSOca	n·1	a-stem		
aSna	1	adj.	a/Sna	mfn·1a	a-stem		tri_gender_adj
aSna	2	m.	a/Sna	m·1a	a-stem		
aSnItapibatA		f.	aSnItapibatA	f·2	ā-stem		ā_stem_f(§364)
aSmaka		m.	aSmaka	m·1	a-stem		
aSmakadalI		f.	aSmakadalI	f·4+2	ī-stem	aSma+kadalI	compound:2_members
aSmaketu		m.	aSmaketu	m·5+2	u-stem	aSma+ketu	compound:2_members
aSmaganDA		f.	a/SmaganDA	f·2a+2	ā-stem	aSma+ganDA	compound:2_members;ā_stem_f(§364)
aSmagarBa		n.	aSmagarBa	n·1+2	a-stem	aSma+garBa	compound:2_members
aSmagarBaja		n.	aSmagarBaja	n·1+2	a-stem	aSma+garBaja	compound:2_members
aSmaGna		m.	aSmaGna	m·1+2	a-stem	aSma+Gna	compound:2_members
aSmacakra		adj.	a/Smacakra	mfn·1a+2	a-stem	aSma+cakra	compound:2_members;tri_gender_adj
aSmaja		n.	aSmaja	n·1+2	a-stem	aSma+ja	compound:2_members
aSmajatuka		n.	aSmajatuka	n·1	a-stem		
aSmadAraRa		m.	aSmadAraRa	m·1+2	a-stem	aSma+dAraRa	compound:2_members
aSmadidyu		adj.	a/Smadidyu	mfn·5a+2	u-stem	aSma+didyu	compound:2_members;tri_gender_adj
aSman	1	m.	a/Sman	m·8na*	consonant-stem		
aSman	2	m.	a/Sman	m·8na*	consonant-stem		
aSman	3	m.	aSma/n	m·8nd*	consonant-stem		
aSmanta		n.	aSmanta	n·1	a-stem		
aSmantaka		n.	aSmantaka	n·1	a-stem		
aSmanmaya		adj.	aSmanma/ya	mfn·1a+2	a-stem	aSman+maya	compound:2_members;tri_gender_adj
aSmanvant		adj.	a/Smanvant	mfn·8ta*	consonant-stem		tri_gender_adj
aSmapuzpa		n.	aSmapuzpa	n·1+2	a-stem	aSma+puzpa	compound:2_members
aSmaBAla		n.	aSmaBAla	n·1+2	a-stem	aSma+BAla	compound:2_members
aSmaBid		m.	aSmaBid	m·8√+2	consonant-stem	aSma+Bid	compound:2_members
aSmaBeda		m.	aSmaBeda	m·1+2	a-stem	aSma+Beda	compound:2_members
aSmaBedaka		m.	aSmaBedaka	m·1+2	a-stem	aSma+Bedaka	compound:2_members
aSmamaya		adj.	aSmama/ya	mfn·1a+2	a-stem	aSma+maya	compound:2_members;tri_gender_adj
aSmayoni		m.	aSmayoni	m·3+2	i-stem	aSma+yoni	compound:2_members
aSmara		adj.	aSmara/	mfn·1b	a-stem		tri_gender_adj
aSmaraTa		m.	aSmaraTa	m·1	a-stem		
aSmarIGna		m.	aSmarIGna	m·1+2	a-stem	aSmarI+Gna	compound:2_members
aSmarIhara		m.	aSmarIhara	m·1+2	a-stem	aSmarI+hara	compound:2_members
aSmala		m.	aSmala	m·1	a-stem		
aSmavant		adj.	aSmavant	mfn·8t*	consonant-stem		tri_gender_adj
aSmavarman		n.	aSmavarma/n	n·8nd*+2	consonant-stem	aSma+varman	compound:2_members
aSmavraja		adj.	a/Smavraja	mfn·1a+2	a-stem	aSma+vraja	compound:2_members;tri_gender_adj
aSmasAra		m.	aSmasAra	m·1+2	a-stem	aSma+sAra	compound:2_members
aSmasAramaya		adj.	aSmasAramaya	mfn·1+3	a-stem	aSma+sAra+maya	compound:3_members;tri_gender_adj
aSmahanman		n.	a/Smahanman	n·8na*+2	consonant-stem	aSma+hanman	compound:2_members
aSmArma		n.	aSmArma	n·1	a-stem		
aSmAsya		adj.	a/SmAsya	mfn·1a	a-stem		tri_gender_adj
aSmIya		adj.	aSmI/ya	mfn·1a	a-stem		tri_gender_adj
aSmIra		m.n.	aSmIra	mn·1	a-stem		m_n_common
aSmotTa		n.	aSmotTa	n·1	a-stem		
aSra		n.	aSra/	n·1b	a-stem		
aSradDa		adj.	aSradDa/	mfn·1b	a-stem		tri_gender_adj
aSradDA		f.	a/SradDA	f·2a	ā-stem		ā_stem_f(§364)
aSrapa		m.	aSrapa	m·1	a-stem		
aSrama	1	m.	aSrama	m·1	a-stem		
aSrama	2	adj.	aSrama/	mfn·1b	a-stem		tri_gender_adj
aSramaRa	1	adj.	aSramaRa/	mfn·1b	a-stem		tri_gender_adj
aSramaRa	2	m.	a/SramaRa	m·1a	a-stem		
aSrAtas		adv.	a/SrAtas	ind·0	indeclinable		
aSrAdDaBojin		adj.	aSrAdDaBojin	mfn·8i+2	consonant-stem	aSrAdDa+Bojin	compound:2_members;tri_gender_adj
aSrAnta		adj.	a/SrAnta	mfn·1a	a-stem		tri_gender_adj
aSri		f.	a/Sri	f·3a	i-stem		
aSrita		adj.	a/Srita	mfn·1a	a-stem		tri_gender_adj
aSrin		adj.	aSrin	mfn·8i	consonant-stem		tri_gender_adj
aSrimant		adj.	aSrimant	mfn·8t*	consonant-stem		tri_gender_adj
aSrI		f.	aSrI	f·4	ī-stem		
aSrIka		adj.	aSrIka	mfn·1	a-stem		tri_gender_adj
aSrIra		adj.	aSrIra/	mfn·1b	a-stem		tri_gender_adj
aSru		n.	a/Sru	n·5a	u-stem		
aSruta		adj.	a/Sruta	mfn·1a	a-stem		tri_gender_adj
aSrutavraRa		m.	aSrutavraRa	m·1+2	a-stem	aSruta+vraRa	compound:2_members
aSruti		f.	a/Sruti	f·3a	i-stem		
aSrutiDara		adj.	aSrutiDara	mfn·1+2	a-stem	aSruti+Dara	compound:2_members;tri_gender_adj
aSrumuKa		adj.	aSrumuKa/	mfn·1b+2	a-stem	aSru+muKa	compound:2_members;tri_gender_adj
aSreyaMs		adj.	aSreyaMs	mfn·8√	consonant-stem		tri_gender_adj
aSrezman		adj.	aSrezma/n	mfn·8nd*	consonant-stem		tri_gender_adj
aSlAGA		f.	aSlAGA	f·2	ā-stem		ā_stem_f(§364)
aSlIka		adj.	aSlIka	mfn·1	a-stem		tri_gender_adj
aSlIla		adj.	aSlIla/	mfn·1b	a-stem		tri_gender_adj
aSlezA		f.	aSlezA/	f·2b	ā-stem		ā_stem_f(§364)
aSlezABava		m.	aSlezABava	m·1+2	a-stem	aSlezA+Bava	compound:2_members
aSlezABU		m.	aSlezABU	m·6+2	ū-stem	aSlezA+BU	compound:2_members
aSlona		adj.	a/Slona	mfn·1a	a-stem		tri_gender_adj
aSva		m.	a/Sva	m·1a	a-stem		
aSvaka	1	m.	aSvaka/	m·1b	a-stem		
aSvaka	2	m.	a/Svaka	m·1a	a-stem		
aSvakandikA		f.	aSvakandikA	f·2+2	ā-stem	aSva+kandikA	compound:2_members;ā_stem_f(§364)
aSvakarRa		m.	aSvakarRa	m·1+2	a-stem	aSva+karRa	compound:2_members
aSvakarRaka		m.	aSvakarRaka	m·1+2	a-stem	aSva+karRaka	compound:2_members
aSvakinI		f.	aSvakinI	f·4	ī-stem		
aSvakuwI		f.	aSvakuwI	f·4+2	ī-stem	aSva+kuwI	compound:2_members
aSvakranda		m.	aSvakranda	m·1+2	a-stem	aSva+kranda	compound:2_members
aSvaKura		m.	aSvaKura	m·1+2	a-stem	aSva+Kura	compound:2_members
aSvagati		f.	aSvagati	f·3+2	i-stem	aSva+gati	compound:2_members
aSvaganDA		f.	aSvaganDA	f·2+2	ā-stem	aSva+ganDA	compound:2_members;ā_stem_f(§364)
aSvagrIva		m.	aSvagrIva	m·1+2	a-stem	aSva+grIva	compound:2_members
aSvaGAsa		m.	aSvaGAsa	m·1+2	a-stem	aSva+GAsa	compound:2_members
aSvaGoza		m.	aSvaGoza	m·1+2	a-stem	aSva+Goza	compound:2_members
aSvaGna		m.	aSvaGna	m·1+2	a-stem	aSva+Gna	compound:2_members
aSvacakra		m.	aSvacakra	m·1+2	a-stem	aSva+cakra	compound:2_members
aSvacalanaSAlA		f.	aSvacalanaSAlA	f·2+2	ā-stem	aSva+calanaSAlA	compound:2_members;ā_stem_f(§364)
aSvajit		adj.	aSvaji/t	mfn·8√b+2	consonant-stem	aSva+jit	compound:2_members;tri_gender_adj
aSvatara		m.	aSvatara/	m·1b+2	a-stem	aSva+tara	compound:2_members
aSvatarASva		m.	aSvatarASva	m·1	a-stem		
aSvatIrTa		n.	aSvatIrTa	n·1+2	a-stem	aSva+tIrTa	compound:2_members
aSvatTa		m.	aSvatTa/	m·1b+2	a-stem	aSva+tTa	compound:2_members
aSvatTaka		adj.	a/SvatTaka	mfn·1a	a-stem		tri_gender_adj
aSvatTakuRa		m.	aSvatTa/kuRa	m·1a+2	a-stem	aSvatTa+kuRa	compound:2_members
aSvatTaBeda		m.	aSvatTaBeda	m·1+2	a-stem	aSvatTa+Beda	compound:2_members
aSvatTAma		adj.	aSvatTAma	mfn·1+2	a-stem	aSva+tTAma	compound:2_members;tri_gender_adj
aSvatTAman		m.	aSvatTAman	m·8n*+2	consonant-stem	aSva+tTAman	compound:2_members
aSvatTika		adj.	a/SvatTika	mfn·1a	a-stem		tri_gender_adj
aSvatTila		adj.	aSvatTi/la	mfn·1a	a-stem		tri_gender_adj
aSvatrirAtra		m.	a/SvatrirAtra	m·1a+2	a-stem	aSva+trirAtra	compound:2_members
aSvada		adj.	aSvada	mfn·1+2	a-stem	aSva+da	compound:2_members;tri_gender_adj
aSvadaMzwrA		f.	aSvadaMzwrA	f·2+2	ā-stem	aSva+daMzwrA	compound:2_members;ā_stem_f(§364)
aSvadA		adj.	aSvadA/	mfn·2b+2	ā-stem	aSva+dA	compound:2_members;tri_gender_adj
aSvadAvan		adj.	aSvadAvan	mfn·8n*+2	consonant-stem	aSva+dAvan	compound:2_members;tri_gender_adj
aSvanadI		f.	aSvanadI	f·4+2	ī-stem	aSva+nadI	compound:2_members
aSvanAya		m.	aSvanAya	m·1+2	a-stem	aSva+nAya	compound:2_members
aSvanibanDika		m.	aSvanibanDika	m·1+2	a-stem	aSva+nibanDika	compound:2_members
aSvanirRij		adj.	a/SvanirRij	mfn·8√a+2	consonant-stem	aSva+nirRij	compound:2_members;tri_gender_adj
aSvanta		n.	aSvanta	n·1	a-stem		
aSvapa		m.	aSvapa/	m·1b+2	a-stem	aSva+pa	compound:2_members
aSvapati		m.	a/Svapati	m·3a+2	i-stem	aSva+pati	compound:2_members
aSvaparRa		adj.	a/SvaparRa	mfn·1a+2	a-stem	aSva+parRa	compound:2_members;tri_gender_adj
aSvapastya		adj.	a/Svapastya	mfn·1a+2	a-stem	aSva+pastya	compound:2_members;tri_gender_adj
aSvapAla		m.	aSvapAla	m·1+2	a-stem	aSva+pAla	compound:2_members
aSvapucCI		f.	aSvapucCI	f·4	ī-stem		
aSvapeja		m.	aSvapeja	m·1+2	a-stem	aSva+peja	compound:2_members
aSvapeSas		adj.	a/SvapeSas	mfn·8sa+2	consonant-stem	aSva+peSas	compound:2_members;tri_gender_adj
aSvaprapatana		n.	aSvaprapatana	n·1	a-stem		
aSvabaqava		n.	aSvabaqava	n·1	a-stem		
aSvabanDa		m.	aSvabanDa	m·1+2	a-stem	aSva+banDa	compound:2_members
aSvabanDana	1	n.	aSvabanDana	n·1+2	a-stem	aSva+banDana	compound:2_members
aSvabanDana	2	adj.	aSvabanDana	mfn·1+2	a-stem	aSva+banDana	compound:2_members;tri_gender_adj
aSvabalA		f.	aSvabalA	f·2+2	ā-stem	aSva+balA	compound:2_members;ā_stem_f(§364)
aSvabAla		m.	aSvabAla/	m·1b	a-stem		
aSvabAhu		m.	aSvabAhu	m·5+2	u-stem	aSva+bAhu	compound:2_members
aSvabuDna		adj.	a/SvabuDna	mfn·1a+2	a-stem	aSva+buDna	compound:2_members;tri_gender_adj
aSvabuDya		adj.	aSvabuDya	mfn·1+2	a-stem	aSva+buDya	compound:2_members;tri_gender_adj
aSvamahizikA		f.	aSvamahizikA	f·2+2	ā-stem	aSva+mahizikA	compound:2_members;ā_stem_f(§364)
aSvamAra		m.	aSvamAra	m·1+2	a-stem	aSva+mAra	compound:2_members
aSvamAraka		m.	aSvamAraka	m·1+2	a-stem	aSva+mAraka	compound:2_members
aSvamizwi		adj.	a/Svamizwi	mfn·3a+2	i-stem	aSva+mizwi	compound:2_members;tri_gender_adj
aSvamuKa		adj.	aSvamuKa	mfn·1+2	a-stem	aSva+muKa	compound:2_members;tri_gender_adj
aSvameDa	1	m.	aSvameDa/	m·1b+2	a-stem	aSva+meDa	compound:2_members
